pa_id,name,type,type_group,iucn_category,state,governance,environment,area_ha,area_km2,longitude,latitude,gaz_year,is_indigenous
VIC_2326,Bet Bet Creek B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.94,0.14,143.6112348,-37.02064046,1982,False
SA_212,Unnamed (No.HA212),Heritage Agreement,Private or covenant,III,SA,P,T,13.92,0.14,138.06124549,-35.76028589,1988,False
TAS_50376,Baldocks Grant,Private Sanctuary,Private or covenant,VI,TAS,P,T,13.92,0.14,146.35050098,-41.59705721,2004,False
SA_0018,Tantanoola Caves,Conservation Park,Conservation park/reserve,III,SA,G,T,13.92,0.14,140.50107673,-37.7144924,1930,False
TAS_21937,Mountain Road Lilydale,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.91,0.14,147.24590876,-41.26238267,2005,False
QLD_NR5038,Dendrophilia,Nature Refuge,Other,VI,QLD,P,T,13.91,0.14,145.45839745,-17.44267545,2019,False
TAS_13848,Wanabi,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.87,0.14,147.26492022,-43.30160549,2012,False
VIC_714,Bunnugal W.R,Natural Features Reserve,Nature reserve,VI,VIC,G,T,13.87,0.14,142.52768157,-37.59688081,1983,False
SA_64,Unnamed (No.HA64),Heritage Agreement,Private or covenant,III,SA,P,T,13.86,0.14,140.13505399,-37.40591333,2001,False
SA_1555,Unnamed (No.HA1555),Heritage Agreement,Private or covenant,III,SA,P,T,13.85,0.14,138.9086523,-34.95542516,2016,False
VIC_2338,Great Sandstone Mine B.R.,Natural Features Reserve,Nature reserve,IV,VIC,G,T,13.85,0.14,143.86276656,-36.72774388,1982,False
TAS_10212,Wylies Road Cygnet,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.85,0.14,147.09861582,-43.12880884,2005,False
WA_50750,Unnamed WA50750,Nature Reserve,Nature reserve,Ia,WA,G,T,13.85,0.14,115.8348908,-32.50039659,2011,False
NTWA_0175,NTWA Bushland covenant (0175),Conservation Covenant,Conservation park/reserve,IV,WA,P,T,13.83,0.14,115.52969516,-33.6220968,2016,False
WA_14944,Cheyne Island,Nature Reserve,Nature reserve,Ia,WA,G,B,13.82,0.14,118.76677226,-34.59349441,1913,False
QLD_NR214,Mount Monty Rainforest,Nature Refuge,Other,VI,QLD,P,T,13.82,0.14,152.56642612,-26.22743587,2004,False
TAS_12712,Jennyfield,Conservation Covenant,Conservation park/reserve,IV,TAS,P,T,13.82,0.14,146.94071063,-41.36402861,2009,False
